migsp,FIPS County Code,FIPS MCD Code,MIGCOUNTY,MIGSP Migration (3-digit) State Code,MIGPUMA
32,7,0,Elko County,32,300
32,9,0,Esmeralda County,32,300
32,11,0,Eureka County,32,300
32,13,0,Humboldt County,32,300
32,15,0,Lander County,32,300
32,17,0,Lincoln County,32,300
32,19,0,Lyon County,32,200
32,21,0,Mineral County,32,300
32,23,0,Nye County,32,300
32,27,0,Pershing County,32,300
32,29,0,Storey County,32,200
32,31,0,Washoe County,32,100
32,33,0,White Pine County,32,300
32,510,0,Carson City,32,200
33,1,1060,Alton town,33,290
33,1,3220,Barnstead town,33,290
33,1,4740,Belmont town,33,290
33,1,10660,Center Harbor town,33,290
33,1,28740,Gilford town,33,290
33,1,28980,Gilmanton town,33,290
33,1,40180,Laconia city,33,290
33,1,47140,Meredith town,33,290
33,1,51540,New Hampton town,33,290
33,1,67300,Sanbornton town,33,290
33,1,77060,Tilton town,33,290
33,3,420,Albany town,33,290
33,3,3700,Bartlett town,33,290
33,3,7940,Brookfield town,33,290
33,3,11780,Chatham town,33,290
33,3,14660,Conway town,33,290
33,3,23380,Eaton town,33,290
33,3,23620,Effingham town,33,290
33,3,27700,Freedom town,33,290
33,3,32500,Hale's location,33,290
33,3,34500,Hart's Location town,33,290
33,3,38260,Jackson town,33,290
33,3,45060,Madison town,33,290
33,3,49380,Moultonborough town,33,290
33,3,58740,Ossipee town,33,290
33,3,67780,Sandwich town,33,290
33,3,76100,Tamworth town,33,290
33,3,77620,Tuftonboro town,33,290
33,3,78180,Wakefield town,33,290
33,3,86420,Wolfeboro town,33,290
33,5,820,Alstead town,33,500
33,5,12260,Chesterfield town,33,500
33,5,19140,Dublin town,33,500
33,5,26500,Fitzwilliam town,33,500
33,5,29220,Gilsum town,33,500
33,5,34420,Harrisville town,33,500
33,5,36660,Hinsdale town,33,500
33,5,38500,Jaffrey town,33,500
33,5,39300,Keene city,33,500
33,5,45460,Marlborough town,33,500
33,5,45700,Marlow town,33,500
33,5,50580,Nelson town,33,500
33,5,64420,Richmond town,33,500
33,5,64580,Rindge town,33,500
33,5,65700,Roxbury town,33,500
33,5,73700,Stoddard town,33,500
33,5,74900,Sullivan town,33,500
33,5,75300,Surry town,33,500
33,5,75700,Swanzey town,33,500
33,5,77380,Troy town,33,500
33,5,78420,Walpole town,33,500
33,5,82660,Westmoreland town,33,500
33,5,85540,Winchester town,33,500
33,7,2420,Atkinson and Gilmanton Academy grant,33,100
33,7,4100,Beans grant,33,100
33,7,4260,Beans purchase,33,100
33,7,5140,Berlin city,33,100
33,7,8420,Cambridge township,33,100
33,7,10100,Carroll town,33,100
33,7,11220,Chandlers purchase,33,100
33,7,13220,Clarksville town,33,100
33,7,13780,Colebrook town,33,100
33,7,13940,Columbia town,33,100
33,7,16100,Crawfords purchase,33,100
33,7,16660,Cutts grant,33,100
33,7,16820,Dalton town,33,100
33,7,18340,Dixs grant,33,100
33,7,18420,Dixville township,33,100
33,7,19300,Dummer town,33,100
33,7,25140,Errol town,33,100
33,7,25180,Ervings location,33,100
33,7,30260,Gorham town,33,100
33,7,31780,Greens grant,33,100
33,7,32420,Hadleys purchase,33,100
33,7,38820,Jefferson town,33,100
33,7,39940,Kilkenny township,33,100
33,7,40420,Lancaster town,33,100
33,7,43620,Low and Burbanks grant,33,100
33,7,46020,Martins location,33,100
33,7,47860,Milan town,33,100
33,7,48260,Millsfield township,33,100
33,7,56100,Northumberland town,33,100
33,7,57860,Odell township,33,100
33,7,61620,Pinkhams grant,33,100
33,7,61780,Pittsburg town,33,100
33,7,63860,Randolph town,33,100
33,7,67860,Sargents purchase,33,100
